code,year,month,temp_min_abs
C0DE,2016,10,4.9
C0DE,2016,11,3.1
C0DE,2016,12,1.0
C017,2016,1,1.6
C017,2016,2,-1.2
C017,2016,3,1.8
C017,2016,4,3.7
C017,2016,5,4.4
C017,2016,6,10.8
C017,2016,7,10.5
C017,2016,8,12.2
C017,2016,9,11.2
C017,2016,10,5.8
C017,2016,11,3.4
C017,2016,12,0.4
C0F4,2016,1,1.1
C0F4,2016,2,-1.5
C0F4,2016,3,1.7
C0F4,2016,4,3.0
C0F4,2016,5,4.2
C0F4,2016,6,10.2
C0F4,2016,7,10.8
C0F4,2016,8,12.2
C0F4,2016,9,11.4
C0F4,2016,10,5.1
C0F4,2016,11,1.7
C0F4,2016,12,-0.7
C0D1,2016,1,-0.4
C0D1,2016,2,-1.9
C0D1,2016,3,-0.4
C0D1,2016,4,-0.3
C0D1,2016,5,0.7
