code,year,month,viento_velocidad_racha_maxima
C045,2017,8,61.2
C045,2017,9,89.3
C045,2017,10,61.2
C019,2017,1,107.3
C019,2017,2,138.2
C019,2017,3,105.1
C019,2017,4,115.6
C019,2017,5,89.3
C019,2017,6,137.5
C019,2017,7,84.6
C019,2017,8,82.8
C019,2017,9,90.7
C019,2017,10,97.9
C019,2017,11,105.5
C019,2017,12,163.1
C057,2017,1,75.6
C057,2017,2,84.6
C057,2017,3,73.8
C057,2017,4,88.6
C057,2017,5,59.0
C057,2017,6,79.9
C057,2017,7,60.1
C057,2017,8,48.2
C057,2017,9,58.7
C057,2017,10,61.2
C057,2017,11,57.6
C057,2017,12,91.8
C046,2017,1,119.2
C046,2017,2,129.2
C046,2017,3,104.0
C046,2017,4,105.5
C046,2017,5,107.6
C046,2017,6,98.6
C046,2017,7,90.4
C046,2017,8,79.2
C046,2017,9,75.6
C046,2017,10,88.2
C046,2017,11,97.9
C046,2017,12,121.7
C059,2017,1,69.8
C059,2017,2,119.9
C059,2017,3,112.0
C059,2017,4,95.0
C059,2017,5,83.2
C059,2017,6,122.8
C059,2017,7,63.4
C059,2017,8,65.9
C059,2017,9,67.7
C059,2017,10,60.1
C059,2017,11,74.9
C059,2017,12,126.4
C072,2017,1,96.1
C072,2017,2,188.3
C072,2017,3,90.0
C072,2017,4,121.7
C072,2017,5,101.2
C072,2017,6,108.4
C072,2017,7,97.2
C072,2017,8,85.0
C072,2017,9,65.9
C072,2017,10,89.3
C072,2017,11,124.9
C072,2017,12,173.2
C0B4,2017,1,51.8
C0B4,2017,2,77.0
C0B4,2017,3,47.2
C0B4,2017,4,47.9
