code,year,month,helada_dias
C007,2016,4,0
C007,2016,5,0
C007,2016,6,0
C007,2016,7,0
C007,2016,8,0
C007,2016,9,0
C007,2016,10,0
C007,2016,11,0
C007,2016,12,0
C0D0,2016,1,2
C0D0,2016,2,2
C0D0,2016,3,1
C0D0,2016,4,0
C0D0,2016,5,0
C0D0,2016,6,0
C0D0,2016,7,0
C0D0,2016,8,0
C0D0,2016,9,0
C0D0,2016,10,0
C0D0,2016,11,0
C0D0,2016,12,4
C064,2016,1,0
C064,2016,2,0
C064,2016,3,0
C064,2016,4,0
C064,2016,5,0
C064,2016,6,0
C064,2016,7,0
C064,2016,8,0
C064,2016,9,0
C064,2016,10,0
C064,2016,11,0
C064,2016,12,0
C028,2016,1,0
C028,2016,2,2
C028,2016,3,0
C028,2016,4,0
C028,2016,5,0
C028,2016,6,0
C028,2016,7,0
C028,2016,8,0
C028,2016,9,0
C028,2016,10,0
C028,2016,11,0
C028,2016,12,0
C029,2016,1,0
C029,2016,2,1
C029,2016,3,0
C029,2016,4,0
C029,2016,5,0
C029,2016,6,0
C029,2016,7,0
C029,2016,8,0
C029,2016,9,0
C029,2016,10,0
C029,2016,11,0
C029,2016,12,0
C076,2017,1,21
C076,2017,2,4
C076,2017,3,3
C076,2017,4,5
C076,2017,5,1
C076,2017,6,0
C076,2017,7,0
C076,2017,8,0
C076,2017,9,0
C076,2017,10,0
C076,2017,11,10
C076,2017,12,12
C0A4,2017,3,2
C0A4,2017,4,7
C0A4,2017,5,1
C0A4,2017,6,0
C0A4,2017,7,0
C0A4,2017,8,0
C0A4,2017,9,0
C0A4,2017,10,1
C0A4,2017,11,13
C0A4,2017,12,7
C056,2017,1,21
C056,2017,2,4
C056,2017,3,2
C056,2017,4,5
C056,2017,5,1
C056,2017,6,0
C056,2017,7,0
C056,2017,8,0
C056,2017,9,0
C056,2017,10,0
C056,2017,11,9
C056,2017,12,9
C035,2017,1,18
C035,2017,2,1
C035,2017,3,2
C035,2017,4,2
C035,2017,5,0
C035,2017,6,0
C035,2017,7,0
C035,2017,8,0
C035,2017,9,0
C035,2017,10,1
C035,2017,11,12
C035,2017,12,15
C0A3,2017,1,24
C0A3,2017,2,13
C0A3,2017,3,9
C0A3,2017,4,10
C0A3,2017,5,1
C0A3,2017,6,0
C0A3,2017,7,0
C0A3,2017,8,0
C0A3,2017,9,0
C0A3,2017,10,1
C0A3,2017,11,14
C0A3,2017,12,16
C016,2017,1,21
C016,2017,2,4
C016,2017,3,2
C016,2017,4,5
C016,2017,5,1
C016,2017,6,0
C016,2017,7,0
C016,2017,8,0
C016,2017,9,0
C016,2017,10,0
C016,2017,11,9
C016,2017,12,10
C025,2017,1,15
C025,2017,2,2
C025,2017,3,1
C025,2017,4,1
C025,2017,5,0
C025,2017,6,0
C025,2017,7,0
C025,2017,8,0
C025,2017,9,0
C025,2017,10,0
C025,2017,11,7
C025,2017,12,8
C0A2,2017,1,21
C0A2,2017,2,6
C0A2,2017,3,5
C0A2,2017,4,5
C0A2,2017,6,0
C0A2,2017,7,0
C0A2,2017,8,0
C0A2,2017,9,0
C0A2,2017,10,1
C0A2,2017,11,13
C0A2,2017,12,16
C034,2017,1,19
C034,2017,2,6
C034,2017,3,4
C034,2017,4,6
C034,2017,5,1
C034,2017,6,0
C034,2017,7,0
C034,2017,8,0
C034,2017,9,0
C034,2017,10,1
C034,2017,11,10
C034,2017,12,10
C0AA,2017,1,22
C0AA,2017,2,6
C0AA,2017,3,3
C0AA,2017,4,8
C0AA,2017,5,1
C0AA,2017,6,0
C0AA,2017,7,0
C0AA,2017,8,0
C0AA,2017,9,0
C0AA,2017,10,1
C0AA,2017,11,12
C0AA,2017,12,13
C067,2017,1,15
C067,2017,2,0
C067,2017,3,2
C067,2017,4,0
C067,2017,5,0
C067,2017,6,0
C067,2017,7,0
C067,2017,8,0
C067,2017,9,0
C067,2017,10,0
C067,2017,11,1
C067,2017,12,1
C040,2017,1,14
C040,2017,2,0
C040,2017,3,0
C040,2017,4,0
C040,2017,5,0
C040,2017,6,0
C040,2017,7,0
C040,2017,8,0
C040,2017,9,0
C040,2017,10,0
C040,2017,11,0
C040,2017,12,2
C044,2017,1,19
