northing,easting,zone
"4807387,142","514997,018",30
"4807339,725","515081,305",30
"4806164,391","515033,538",30
"4806523,009","514982,6874",30
"4807922,1","515097,1577",30
"4807124,484","515344,2167",30
"4807667,655","515056,7712",30
"4807423,902","514460,2627",30
"4808038,994","515071,1132",30
"4807942,714","515722,4263",30
"4807701,885","514623,853",30
"4808461,898","515347,2104",30
"4806522,577","514982,3214",30
"4807145,909","515467,1304",30
"4807460,845","515067,6425",30
"4806889,615","515011,8209",30
"4807290,602","515093,0878",30
"4809134,329","516937,4157",30
"4809118,851","516932,7718",30
"4808256,217","515734,706",30
"4807594,391","515140,948",30
"4808438,129","515049,805",30
"4807613,673","515036,4511",30
"4808023,452","515028,6853",30
"4808352,45","515096,9057",30
"4807616,025","515037,559",30
"4806768,978","514987,6242",30
